"weight_1","weight_2","weight_3","weight_4","weight_5","weight_6","weight_7","weight_8","weight_9","weight_10","weight_11","weight_12","weight_13","weight_14","weight_15","weight_16","weight_17","weight_18","weight_19","weight_20","weight_21","var","mu","year","alsea","beaver","coos","coquille","floras","lower_umpqua","middle_umpqua","necanicum","nehalem","nestucca","north_umpqua","salmon","siletz","siltcoos","siuslaw","sixes","south_umpqua","tahkenitch","tenmile","tillamook","yaquina"
0.0241545937166739,0.0662123738432745,0.0343513337954123,0.0741675727269951,0.0789929795141771,0.00382644211355905,0.0443573388413448,0.0749572478162404,0.0463168634662349,0.0383525924123766,0.0803676194908326,0.0380770456464723,0.0569114143783582,0.048097386634603,0.00864498689650103,0.0755792962077005,0.0206697284245926,0.00353272030411204,0.0275431533804202,0.0801719405475205,0.0747153698425983,2.6565135643021,0.769738593937607,1994,878,716,15370,5426,2812,2928,2292,285,3015,282,953,96,658,1380,3349,252,1146,1119,3555,1171,2162
0.061845166585063,0.0571767549702468,0.0887564631168782,0.0585335378214689,0.0632490897778894,0.0485676797090416,0.0530378631271279,0.0258127081416681,0.0131325393958668,0.0859672362425037,0.0805464209024705,0.0616578709423631,0.0710097763992997,0.00219721410893884,0.0426518853158861,0.0677061573734942,0.0193183011558849,0.0284033785724957,0.0206767679737612,0.0127474707746849,0.0370057175929666,2.60346547733461,0.826858999257432,1995,490,342,11435,2258,1500,12048,3608,201,1887,1706,1435,117,349,4901,6839,85,5234,1750,5652,379,5243
0.0494458208858701,0.0440821700388791,0.0182192711734984,0.0165892583900559,0.0278508214515183,0.0556890044659153,0.0317874359813341,0.102522363003268,0.00547746292468632,0.052849069477331,0.0954826494555952,0.0145686598339972,0.0670410990321721,0.0246833783976798,0.0152418089399529,0.0900307846621591,0.106970389944593,0.0447535186307867,0.0794905319600083,0.0113347802744323,0.0458897210762665,1.50966366542109,0.6541478359296,1996,1124,1374,12856,16763,1610,8464,5391,441,559,466,1133,87,419,4989,7668,206,7462,1725,7518,777,4853
0.0255071057579157,0.0757301320151257,0.0416947364768234,0.0753047695538087,0.0755209195072638,0.0738432264214068,0.0408873983317006,0.0701371165655765,0.0584933186260295,0.0660195969291506,5.8079844046256e-05,0.0441861253897691,0.0204625741882491,0.0353083020358863,0.0569640905900267,0.0327036492660754,0.0103313119362211,0.0226472232519956,0.0621034265642951,0.038825056775094,0.07327183997354,2.96159640676463,0.802648101753116,1997,655,542,1212,6235,525,1370,614,106,1294,251,629,17,325,2892,546,156,1021,2008,4460,476,457
0.00981308201916487,0.041487900654947,0.0939629325480823,0.0851952961697771,0.0845673813754749,0.0166996738986618,0.0124681084559106,0.0623046218023608,0.0327707867126985,0.0626534162736067,0.0305629687243791,0.0179053586480575,0.0746293169763422,0.00892877516686066,0.0445297901219647,0.0487966012763407,0.0572377507389309,0.0317507023197146,0.0466127094457587,0.0910549005639835,0.0460679261069829,2.71221868428986,0.796704195086759,1998,117,433,3224,2605,949,4916,1358,621,1302,218,826,93,341,3372,1102,603,3431,3042,5583,387,551
0.0779541924941107,0.0800632028558438,0.0532975033988986,0.0359577490964415,0.0128788060781574,0.081889731806942,0.0263739538329403,0.00531636091655007,0.0829777838876476,0.0630914658229677,0.0124585097349787,0.0480923582082306,0.0835350070336564,0.0512617180039437,0.035416706354065,0.0567260070792677,0.0280017428299369,0.0269422799763819,0.0192416509884512,0.0323504228517327,0.0861728467488556,2.88779655754339,0.800200970580548,1999,1435,1617,5155,2854,717,2807,1870,376,3804,2522,1278,15,1294,2949,3189,60,3222,3920,6552,1959,2742
0.0147778555731153,0.00872512974134214,0.0135995363029308,0.0661262849917435,0.0593459554459469,0.085426050400645,0.0644963359067735,0.0706372622142034,0.04994263022334,0.0632350960970882,0.078757076479818,0.075352670802327,0.0939004587157163,0.0421125738219054,0.029871734076013,0.0392417083158847,0.00100310738613557,0.0176190737653627,0.0807622979380073,0.0221532066057114,0.0229139551959901,2.37622473991506,0.756176695147976,2000,3498,1523,4892,6503,1536,6012,4737,373,15040,1268,1744,186,3522,3988,6793,141,2684,659,8609,2265,662
0.00879683565584168,0.028185656105143,0.0839793352061267,0.0972068449734182,0.0570687064645753,0.0444949815288923,0.0282688532589271,0.0127432841551098,0.0447341872902912,0.0656036577489229,0.0248786151711832,0.0510169717954021,0.0250045501189682,0.057616111175053,0.0405945110218535,0.074556340302919,0.042981444862912,0.0407712490196343,0.0612165055420858,0.0849198166494639,0.0253615419532768,2.79004003334538,0.840970184623034,2001,3357,1905,34939,14386,5891,12105,9298,5025,22805,4331,2739,234,1659,5308,11030,99,12346,3650,11430,2022,3733
0.035303928149187,0.0227253104988789,0.0538842702874242,0.0157236313990724,0.0738711481017732,0.063857131509662,0.0571612237963543,0.0528616929597463,0.0318391019078497,0.0453190960270787,0.0748152949071442,0.0497595562917979,0.0718289027880038,0.0267250182787693,0.060583078838616,0.0226680982870231,0.0508366971172666,0.0411667603137012,0.0226693749177734,0.0482918172797911,0.0781088663430867,2.37841900899187,0.776646983440737,2002,9527,3378,34776,8060,3436,19825,11275,2149,18022,17533,3536,570,2235,4868,58217,100,11043,3654,14554,14001,24990
0.0827883937184015,0.0251673785945246,0.0295108069605448,0.0904778165904595,0.0569128593341925,0.0860416137260807,0.0428258009011899,0.037345574173593,0.0605146573258835,0.0139847985969802,0.0525868614478991,0.0219140764294013,0.0883406286458492,0.0552029230128642,0.0472776301584455,0.0369545922833773,0.0808030453831369,0.0334221494729293,0.026459191360767,0.0156645371846016,0.0158046646988784,1.96882091413796,0.68148829276751,2003,11103,5996,27822,24195,1028,17814,11977,2567,35118,11010,3091,45,8681,7158,31323,93,4684,3443,6761,14049,17803
0.0428419159389101,0.0224824571079239,0.0192198146220339,0.0599357322325887,0.00423614239923613,0.0622888697286288,0.0312743796831144,0.0363452196595389,0.0729626950147067,0.0816641699682224,0.0251099276912282,0.0854189449411824,0.0647366280670831,0.0610021255982291,0.00469654700270279,0.0351255005089127,0.0424688842039466,0.0497929497356501,0.0620585487835416,0.0813820951305214,0.054956451982098,2.78250168539991,0.840742886021615,2004,5652,4935,25204,23909,8042,9708,6885,2374,20235,5071,3844,1773,8833,8638,9427,435,11877,3776,7720,2735,5982
