"alsea","beaver","coos","coquille","floras","lower_umpqua","middle_umpqua","necanicum","nehalem","nestucca","north_umpqua","salmon","siletz","siltcoos","siuslaw","south_umpqua","tenmile","tillamook","yaquina"
0.09,0.06,0.01,0.01,0.04,0.08,0.17,0.03,0.03,0.04,0.14,0.06,0.04,0.06,0.02,0,0.07,0,0.05
0.01,0.01,0.07,0.07,0.1,0.03,0.05,0.01,0,0.04,0.14,0.15,0.05,0.12,0.02,0.01,0.04,0.08,0
