"alsea","beaver","coos","coquille","floras","lower_umpqua","middle_umpqua","necanicum","nehalem","nestucca","north_umpqua","salmon","siletz","siltcoos","siuslaw","south_umpqua","tenmile","tillamook","yaquina"
0,690000,920000,690000,1610000,460000,2760000,690000,920000,1150000,230000,230000,0,3450000,2300000,460000,5980000,460000,0
460000,1610000,920000,0,7590000,230000,1150000,460000,690000,1840000,3450000,460000,460000,690000,460000,920000,1150000,0,460000
