"alsea","beaver","coos","coquille","floras","lower_umpqua","middle_umpqua","necanicum","nehalem","nestucca","north_umpqua","salmon","siletz","siltcoos","siuslaw","south_umpqua","tenmile","tillamook","yaquina"
0.02,0.02,0.16,0.01,0,0.02,0.08,0.01,0.01,0.04,0.02,0.07,0,0.08,0.08,0.03,0.32,0.03,0
0.03,0.05,0.32,0,0,0,0.23,0.09,0.01,0.02,0.02,0.02,0,0.07,0.01,0,0.03,0.03,0.07
