"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
187019.525,186948.641,1956468024691475200,1955390175080248320
186948.655,186948.641,1955390228823058432,1955390175080248320
187019.687,186948.641,1956468761833576960,1955390175080248320
186948.649,186948.641,1955390334829578752,1955390175080248320
187620.097,186948.641,1969354733093052928,1955390175080248320
187810.085,186948.641,1963012946062884864,1955390175080248320
186948.655,186948.641,1955390235341948160,1955390175080248320
187742.828,186948.641,1967484121517267456,1955390175080248320
186948.643,186948.641,1955390188934633216,1955390175080248320
186948.944,186948.641,1955391475070225664,1955390175080248320
186948.832,186948.641,1955391057363792384,1955390175080248320
187739.258,186948.641,1961931794158038528,1955390175080248320
252378.892,186948.641,2285035087320861952,1955390175080248320
187019.741,186948.641,1956471943057718528,1955390175080248320
186948.803,186948.641,1955390927092504064,1955390175080248320
186948.641,186948.641,1955390182767653376,1955390175080248320
186948.641,186948.641,1955390175830514688,1955390175080248320
186957.057,186948.641,1955550092583452928,1955390175080248320
198793.755,186948.641,2269819351728417792,1955390175080248320
187739.083,186948.641,1961930986191711488,1955390175080248320
186948.817,186948.641,1955390979723317760,1955390175080248320
187036.274,186948.641,1957689664675009792,1955390175080248320
187188.604,186948.641,1960082411399097856,1955390175080248320
187739.202,186948.641,1961933269896704768,1955390175080248320
187036.27,186948.641,1957689587633168384,1955390175080248320
187995.435,186948.641,1982205265780065792,1955390175080248320
187019.688,186948.641,1956468765123471616,1955390175080248320
186948.818,186948.641,1955390981599822848,1955390175080248320
186948.642,186948.641,1955390183817922560,1955390175080248320
187036.284,186948.641,1957689647942181120,1955390175080248320
251588.436,186948.641,2277799159974365440,1955390175080248320
186948.803,186948.641,1955390926912857344,1955390175080248320
187809.966,186948.641,1963010668623207936,1955390175080248320
186948.818,186948.641,1955390994806265856,1955390175080248320
186948.804,186948.641,1955390942226817280,1955390175080248320
251588.705,186948.641,2277802360800630272,1955390175080248320
186948.804,186948.641,1955390933978185728,1955390175080248320
186948.655,186948.641,1955390236780863744,1955390175080248320
186948.762,186948.641,1955392470517277184,1955390175080248320
186948.649,186948.641,1955390335493627904,1955390175080248320
187171.562,186948.641,1960015613327878400,1955390175080248320
186948.845,186948.641,1955391105210039808,1955390175080248320
187171.399,186948.641,1960014864113703168,1955390175080248320
187019.715,186948.641,1956468908917435392,1955390175080248320
187170.721,186948.641,1959999613345721344,1955390175080248320
186948.669,186948.641,1955390307789826304,1955390175080248320
187019.525,186948.641,1956468014390397440,1955390175080248320
186948.837,186948.641,1955391070508099840,1955390175080248320
187019.715,186948.641,1956468901284453120,1955390175080248320
186949.644,186948.641,1955406914473798912,1955390175080248320
187019.691,186948.641,1956468837361459712,1955390175080248320
187036.566,186948.641,1957692682393314816,1955390175080248320
251588.594,186948.641,2277800108978714368,1955390175080248320
186948.774,186948.641,1.955392518666e+18,1955390175080248320
186948.944,186948.641,1955391480900544256,1955390175080248320
186948.943,186948.641,1955391459579431424,1955390175080248320
187036.434,186948.641,1957690344210714624,1955390175080248320
186948.831,186948.641,1955391052854715392,1955390175080248320
186948.812,186948.641,1955391086632542720,1955390175080248320
186948.818,186948.641,1955390989149642752,1955390175080248320
186948.729,186948.641,1955391850777612032,1955390175080248320
187241.525,186948.641,1961079508191947776,1955390175080248320
187107.153,186948.641,1958768035504239360,1955390175080248320
251588.585,186948.641,2277799943209529856,1955390175080248320
186948.641,186948.641,1955390175085389824,1955390175080248320
187036.435,186948.641,1957690354387144960,1955390175080248320
186948.641,186948.641,1955390184150016256,1955390175080248320
186948.81,186948.641,1955391023962287104,1955390175080248320
251588.585,186948.641,2277799949375980288,1955390175080248320
251588.548,186948.641,2277800992060276224,1955390175080248320
186948.832,186948.641,1955391058389600512,1955390175080248320
187036.455,186948.641,1957690551897405952,1955390175080248320
186966.686,186948.641,1955473643489636096,1955390175080248320
187740.87,186948.641,1961939286241365248,1955390175080248320
