StrmLev,stream_ID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
5,2840,-122.7207028,43.26959841,Falls,Unknown,455041.93,0.5
5,2840,-122.7076468,43.28427026,Culvert,Partial,108847.2,0.5
5,2848,-122.7689926,43.40111103,Culvert,Blocked,108847.2,0.1
5,2859,-122.9539265,43.14457476,Falls,UnkAnad,455041.93,0.5
5,2866,-122.7730258,43.40992085,Culvert,Partial,108847.2,0.5
5,2872,-122.8749571,43.39956261,Bridge,Passable,370171,1
5,2882,-123.0995584,43.25976889,Culvert,Partial,108847.2,0.5
5,2968,-122.8540272,43.22231714,Culvert,Partial,108847.2,0.5
5,2996,-122.9681952,43.36261571,Culvert,Partial,108847.2,0.5
5,3074,-122.6897075,43.36787455,Culvert,Blocked,108847.2,0.1
5,3129,-122.9039595,43.36690053,Culvert,Blocked,108847.2,0.1
5,3215,-122.5295467,43.20741972,Falls,Blocked,455041.93,0.1
5,3215,-122.529056,43.20760907,Falls,Blocked,455041.93,0.1
5,3224,-123.0835622,43.20345197,Culvert,Blocked,108847.2,0.1
5,3237,-123.0395012,43.1504961,Falls,UnkAnad,455041.93,0.5
5,3237,-123.0303562,43.16644018,Culvert,Partial,108847.2,0.5
5,3238,-123.3665162,43.34645803,Culvert,Partial,108847.2,0.5
5,3247,-123.0170964,43.22186381,Culvert,Blocked,108847.2,0.1
5,3254,-122.7468829,43.23930261,Falls,Unknown,455041.93,0.5
5,3262,-122.9075498,43.37738779,Culvert,Passable,108847.2,1
5,3266,-122.9512912,43.15119595,Falls,UnkAnad,455041.93,0.5
5,3266,-122.9509757,43.15504601,Culvert,Blocked,108847.2,0.1
5,3267,-122.9527506,43.36000532,Culvert,Blocked,108847.2,0.1
5,3291,-122.6526586,43.56144633,Falls,Blocked,455041.93,0.1
5,3298,-122.9411695,43.22410209,Falls,Blocked,455041.93,0.1
5,3298,-122.9326367,43.21818768,Culvert,Partial,108847.2,0.5
5,3301,-122.5934347,43.53899915,Culvert,Blocked,108847.2,0.1
5,3314,-123.20751,43.266498,Culvert,Unknown,108847.2,0.1
5,3314,-123.20751,43.266498,Culvert,Unknown,108847.2,0.1
5,3316,-122.9545419,43.40782524,Culvert,Blocked,108847.2,0.1
5,3326,-123.0085496,43.37857272,Culvert,Blocked,108847.2,0.1
5,3346,-122.7065253,43.5178632,Falls,Blocked,455041.93,0.1
5,3370,-123.0425147,43.20880822,Culvert,Partial,108847.2,0.5
5,3370,-123.023776,43.20926452,Culvert,Partial,108847.2,0.5
5,3370,-123.0490418,43.21089631,Culvert,Partial,108847.2,0.5
5,3373,-123.1185656,43.23689427,Culvert,Passable,108847.2,1
5,3373,-123.1185656,43.23689427,Culvert,Passable,108847.2,1
5,3384,-122.9758806,43.15365481,Culvert,Blocked,108847.2,0.1
5,3390,-123.1160539,43.24469998,Culvert,Blocked,108847.2,0.1
5,3397,-122.654321,43.45384667,Falls,UnkAnad,455041.93,0.5
5,3400,-122.7893015,43.37899697,Culvert,Partial,108847.2,0.5
5,3400,-122.7828595,43.38382894,Culvert,Partial,108847.2,0.5
5,3403,-122.9638063,43.42994457,Bridge,Passable,370171,1
5,3403,-122.9637664,43.42695812,Falls,Blocked,455041.93,0.1
5,3403,-122.9664945,43.43359482,Falls,Blocked,455041.93,0.1
5,3403,-122.9642264,43.42960934,Falls,Blocked,455041.93,0.1
5,3404,-122.9339136,43.33188623,Culvert,Blocked,108847.2,0.1
5,3404,-122.9296045,43.3353098,Culvert,Blocked,108847.2,0.1
5,3413,-122.7820577,43.39950669,Culvert,Blocked,108847.2,0.1
5,3413,-122.7818795,43.39977645,Falls,Partial,455041.93,0.5
5,3419,-123.0069191,43.21968576,Culvert,Blocked,108847.2,0.1
5,3430,-122.9127607,43.14506976,Culvert,Partial,108847.2,0.5
5,3430,-122.9194909,43.14780771,Culvert,Blocked,108847.2,0.1
5,3431,-122.9404282,43.39892827,Culvert,Blocked,108847.2,0.1
5,3443,-122.7782438,43.18450026,Culvert,Partial,108847.2,0.5
5,3448,-122.781528,43.17825759,Culvert,Partial,108847.2,0.5
5,3448,-122.7828297,43.18492267,Culvert,Partial,108847.2,0.5
5,3455,-122.8926686,43.21120461,Culvert,Unknown,108847.2,0.1
5,3455,-122.8921335,43.2146108,Falls,Unknown,455041.93,0.5
5,3455,-122.900903,43.19773027,Culvert,Partial,108847.2,0.5
5,3455,-122.8920432,43.21478188,Falls,Blocked,455041.93,0.1
5,3458,-122.9781012,43.26220824,Culvert,Unknown,108847.2,0.1
5,3460,-123.207489,43.25976181,Dam,Unknown,487195.2,0.1
5,3471,-123.0754907,43.21487892,Culvert,Blocked,108847.2,0.1
5,3473,-122.5789696,43.39635092,Falls,Blocked,455041.93,0.1
5,3498,-123.1448792,43.26635063,Culvert,Partial,108847.2,0.5
5,3508,-123.2091259,43.3341968,Falls,Blocked,455041.93,0.1
5,3512,-122.6910262,43.26804447,Culvert,Unknown,108847.2,0.1
5,3512,-122.679185,43.27637553,Falls,Unknown,455041.93,0.5
5,3512,-122.6846146,43.27178482,Falls,Unknown,455041.93,0.5
5,3512,-122.6850935,43.27156622,Falls,Unknown,455041.93,0.5
5,3512,-122.6895488,43.26927673,Falls,Unknown,455041.93,0.5
5,3512,-122.6922325,43.2671905,Falls,Unknown,455041.93,0.5
5,3512,-122.6970132,43.26202524,Falls,Unknown,455041.93,0.5
5,3512,-122.6740179,43.28231008,Falls,UnkAnad,455041.93,0.5
5,3512,-122.6748834,43.281702,Falls,Blocked,455041.93,0.1
5,3512,-122.6768119,43.28031101,Falls,Blocked,455041.93,0.1
5,3512,-122.6774385,43.2794413,Falls,Blocked,455041.93,0.1
5,3512,-122.6795238,43.27591127,Falls,Blocked,455041.93,0.1
5,3512,-122.6816873,43.27392154,Falls,Blocked,455041.93,0.1
5,3512,-122.683058,43.27230399,Falls,Blocked,455041.93,0.1
5,3512,-122.6836024,43.27224675,Falls,Blocked,455041.93,0.1
5,3512,-122.6837308,43.27218816,Falls,Blocked,455041.93,0.1
5,3512,-122.6846996,43.27174594,Falls,Blocked,455041.93,0.1
5,3517,-122.7442312,43.49670614,Culvert,Unknown,108847.2,0.1
5,3517,-122.7314721,43.48666497,Culvert,Partial,108847.2,0.5
5,3520,-123.0024437,43.14907264,Falls,Unknown,455041.93,0.5
5,3520,-123.0076293,43.12104147,Culvert,Blocked,108847.2,0.1
