stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
160,CascadeGradientVelocity,Partial,455041.93,0.5,0.25
169,Culvert,Partial,108847.2,0.5,
201,Culvert,Passable,108847.2,1,
354,Culvert,Partial,108847.2,0.5,
914,Culvert,Passable,108847.2,1,
1013,CascadeGradientVelocity,Partial,455041.93,0.5,
1118,Culvert,Passable,108847.2,1,
1321,CascadeGradientVelocity,Partial,455041.93,0.5,
