StrmLev,stream_ID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
4,3613,-123.5324202,43.7719566,Culvert,Blocked,108847.2,0.1
4,3749,-123.4344449,43.80005674,Culvert,Blocked,108847.2,0.1
4,3854,-123.58174,43.77486416,Culvert,Partial,108847.2,0.5
4,3876,-123.4363381,43.80263619,Culvert,Passable,108847.2,1
4,3968,-123.6728685,43.63454204,Culvert,Blocked,108847.2,0.1
4,3969,-123.5939868,43.71821549,Culvert,Unknown,108847.2,0.1
4,3970,-124.034761,43.734031,Bridge,Unknown,370171,0.1
4,3970,-124.0346416,43.73432969,TideGate,Unknown,77617.39,0.5
4,3996,-123.6175166,43.70985839,Culvert,Blocked,108847.2,0.1
4,4004,-123.3960882,43.73959274,Culvert,Passable,108847.2,1
4,4028,-123.7707764,43.82571344,Culvert,Unknown,108847.2,0.1
4,4043,-123.8347443,43.55208952,Culvert,Blocked,108847.2,0.1
4,4085,-123.6810636,43.7427168,Culvert,UnkAnad,108847.2,0.1
4,4086,-123.7115121,43.57238061,Culvert,Blocked,108847.2,0.1
4,4156,-123.4253,43.785761,Bridge,Unknown,370171,0.1
4,4187,-123.7011426,43.82229874,Culvert,UnkAnad,108847.2,0.1
4,4200,-123.9685351,43.67076694,Ford,UnkAnad,108847.2,0.5
4,4211,-123.4299528,43.80232333,Culvert,Blocked,108847.2,0.1
4,4218,-123.5107991,43.76520063,Culvert,Blocked,108847.2,0.1
4,4305,-123.7833287,43.59725781,Culvert,Partial,108847.2,0.5
4,4312,-123.5889637,43.8323077,Culvert,Unknown,108847.2,0.1
4,4392,-124.02645,43.7431,Bridge,Unknown,370171,0.1
4,4562,-123.8256158,43.55625812,Culvert,Blocked,108847.2,0.1
4,4790,-123.7816597,43.60826519,Culvert,Blocked,108847.2,0.1
4,4860,-123.8917648,43.62377924,CascadeGradientVelocity,UnkAnad,455041.93,0.1
