StrmLev,stream_ID,fpbFtrID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
3,417,6716,-123.8449895,43.00256161,Falls,UnkAnad,455041.93,0.5
3,417,36449,-123.868581,42.988561,Bridge,Unknown,370171,0.1
3,419,4028,-124.0188088,42.9640066,Falls,UnkAnad,455041.93,0.5
3,419,27846,-124.0131478,42.97397638,Falls,UnkAnad,455041.93,0.5
3,419,27849,-123.9869572,42.88374973,Falls,Unknown,455041.93,0.5
3,419,27850,-123.9485089,42.88332217,Falls,Unknown,455041.93,0.5
3,419,27851,-123.9483859,42.88334322,Falls,Unknown,455041.93,0.5
3,419,34992,-124.020711,42.966814,Bridge,Unknown,370171,0.1
3,419,35571,-123.994536,43.004336,Bridge,Unknown,370171,0.1
3,419,35584,-124.00025,42.99465,Bridge,Unknown,370171,0.1
3,419,35585,-124.019419,42.971019,Bridge,Unknown,370171,0.1
3,419,35978,-123.994581,43.004331,Bridge,Unknown,370171,0.1
3,419,27523,-123.9675543,42.88178704,Culvert,Blocked,108847.2,0.1
3,419,3968,-124.0182894,42.96402548,Falls,Blocked,455041.93,0.1
3,419,27847,-124.0201872,42.96867316,Falls,Partial,455041.93,0.5
3,419,28136,-124.0025825,43.01368505,Dam,Partial,487195.2,0.5
3,423,45378,-124.1662,42.9774,Falls,Blocked,455041.93,0.1
3,425,8434,-124.1510452,43.20831172,Culvert,UnkAnad,108847.2,0.1
3,426,6396,-124.1074664,43.14292621,Culvert,UnkAnad,108847.2,0.1
3,427,3641,-124.2063474,43.22989417,Culvert,Passable,108847.2,1
3,431,27873,-123.8785237,43.25979538,Falls,UnkAnad,455041.93,0.5
3,431,34425,-124.024219,43.184269,Bridge,Unknown,370171,0.1
3,431,34535,-124.015819,43.176969,Bridge,Unknown,370171,0.1
3,431,29277,-123.8790125,43.25911388,Falls,UnkAnad,455041.93,0.5
3,431,7957,-124.0100883,43.21556173,Falls,Partial,455041.93,0.5
