StrmLev,stream_ID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
2,160,-123.3801201,45.74160682,Falls,Unknown,455041.93,0.5
2,160,-123.300031,45.749731,Bridge,Unknown,370171,0.1
2,162,-123.882349,45.731107,Culvert,Partial,108847.2,0.5
2,166,-123.1448074,45.92450124,Culvert,UnkAnad,108847.2,0.1
2,166,-123.144738,45.924571,Culvert,UnkAnad,108847.2,0.1
2,170,-123.5887641,45.8319415,Falls,Unknown,455041.93,0.5
2,170,-123.5968847,45.82863936,Culvert,Blocked,108847.2,0.1
2,170,-123.5991153,45.82758491,Falls,Blocked,455041.93,0.1
2,170,-123.588647,45.83195761,Falls,Blocked,455041.93,0.1
2,170,-123.6013682,45.82812905,Culvert,Partial,108847.2,0.5
2,174,-123.3902379,45.71310157,Culvert,Blocked,108847.2,0.1
2,175,-123.5538403,45.89628574,Culvert,Passable,108847.2,1
2,176,-123.306819,45.761,Bridge,Unknown,370171,0.1
2,176,-123.3465828,45.78057753,Bridge,Passable,370171,1
2,176,-123.3578383,45.77625766,Falls,Blocked,455041.93,0.1
2,179,-123.2716417,45.8017,Culvert,Unknown,108847.2,0.1
2,182,-123.4863699,45.85019245,Culvert,Unknown,108847.2,0.1
2,182,-123.5468773,45.87944984,Dam,UnkAnad,487195.2,0.1
2,182,-123.5455244,45.87876367,Dam,UnkAnad,487195.2,0.1
2,182,-123.5261557,45.85997529,Falls,UnkAnad,455041.93,0.5
2,182,-123.4960785,45.85446435,Falls,Unknown,455041.93,0.5
2,182,-123.491329,45.8521312,Falls,Unknown,455041.93,0.5
2,182,-123.4903084,45.85168391,Falls,Unknown,455041.93,0.5
2,182,-123.550447,45.883756,Bridge,Unknown,370171,0.1
2,182,-123.5183976,45.85843658,Falls,Blocked,455041.93,0.1
2,182,-123.4898306,45.85137437,Falls,Blocked,455041.93,0.1
2,182,-123.527129,45.86084777,Falls,Blocked,455041.93,0.1
2,184,-123.7729466,45.72061659,Culvert,Blocked,108847.2,0.1
2,191,-123.385781,45.996611,Bridge,Unknown,370171,0.1
2,192,-123.1713249,45.96500652,Culvert,UnkAnad,108847.2,0.1
2,192,-123.171086,45.964879,Culvert,UnkAnad,108847.2,0.1
2,195,-123.3607638,45.70916746,Culvert,Blocked,108847.2,0.1
2,202,-123.207417,45.972863,Culvert,Unknown,108847.2,0.1
2,207,-123.2923454,46.01114273,Culvert,UnkAnad,108847.2,0.1
2,207,-123.2923454,46.01114273,Culvert,UnkAnad,108847.2,0.1
2,220,-123.1715467,45.87125385,Culvert,Passable,108847.2,1
2,221,-123.9011909,45.68677045,Culvert,Unknown,108847.2,0.1
2,228,-123.169069,45.853669,Bridge,Unknown,370171,0.1
2,238,-123.6259963,45.79759913,Culvert,Unknown,108847.2,0.1
2,242,-123.2775698,45.98343954,Culvert,UnkAnad,108847.2,0.1
2,242,-123.2622644,45.97190354,Culvert,UnkAnad,108847.2,0.1
2,242,-123.2705436,45.96241865,Culvert,UnkAnad,108847.2,0.1
2,254,-123.858686,45.709133,Bridge,Unknown,370171,0.1
2,254,-123.8622434,45.70833077,Bridge,Unknown,370171,0.1
2,255,-123.526233,45.85492899,Culvert,Unknown,108847.2,0.1
2,255,-123.5169681,45.85240752,Culvert,Unknown,108847.2,0.1
2,255,-123.5393014,45.85350343,Culvert,Blocked,108847.2,0.1
2,255,-123.5495622,45.85365607,Culvert,Blocked,108847.2,0.1
2,255,-123.5494699,45.85365402,Falls,Blocked,455041.93,0.1
2,258,-123.772308,45.7225,Bridge,Unknown,370171,0.1
2,264,-123.89784,45.68695002,Culvert,Unknown,108847.2,0.1
2,273,-123.5037626,45.91468375,Culvert,Partial,108847.2,0.5
2,276,-123.1411307,45.91858691,Culvert,Blocked,108847.2,0.1
2,277,-123.5328958,45.89448544,Culvert,UnkAnad,108847.2,0.1
2,277,-123.5185233,45.87960824,Culvert,Partial,108847.2,0.5
2,290,-123.2685206,45.82694864,Culvert,Unknown,108847.2,0.1
2,292,-123.5310815,45.89728483,Culvert,Unknown,108847.2,0.1
2,296,-123.1692853,45.88401752,Culvert,Partial,108847.2,0.5
2,298,-123.714072,45.73746173,Culvert,Blocked,108847.2,0.1
2,308,-123.643605,45.79803022,Culvert,Partial,108847.2,0.5
2,312,-123.2456665,46.00158839,Culvert,UnkAnad,108847.2,0.1
2,312,-123.253653,45.998745,Culvert,UnkAnad,108847.2,0.1
2,312,-123.241742,46.00569154,Culvert,UnkAnad,108847.2,0.1
2,320,-123.7712273,45.71864629,Culvert,Blocked,108847.2,0.1
2,335,-123.381786,45.981874,Culvert,Unknown,108847.2,0.1
2,341,-123.264139,46.002289,Bridge,Unknown,370171,0.1
2,342,-123.2814124,45.81528836,Culvert,Blocked,108847.2,0.1
2,343,-123.7710289,45.72523018,Falls,Partial,455041.93,0.5
2,350,-123.1422987,45.90358363,Culvert,Unknown,108847.2,0.1
2,353,-123.2792818,45.82013878,Culvert,Blocked,108847.2,0.1
2,373,-123.2901717,45.7610089,Culvert,Passable,108847.2,1
2,375,-123.923627,45.67178514,Culvert,Unknown,108847.2,0.1
2,379,-123.5442483,45.88946352,Culvert,UnkAnad,108847.2,0.1
2,379,-123.5436697,45.88912277,Dam,UnkAnad,487195.2,0.1
2,394,-123.605165,45.83314764,Culvert,Unknown,108847.2,0.1
2,396,-123.478154,45.939388,Culvert,Unknown,108847.2,0.1
3,401,-123.7600324,45.69868646,Bridge,Passable,370171,1
3,410,-123.1879066,45.81810762,Culvert,Passable,108847.2,1
3,421,-123.544568,45.894783,Culvert,Unknown,108847.2,0.1
3,421,-123.544568,45.894783,Culvert,Unknown,108847.2,0.1
3,421,-123.544568,45.894783,Culvert,Unknown,108847.2,0.1
3,424,-123.5012699,45.96703693,Culvert,Partial,108847.2,0.5
3,432,-123.9123651,45.68945239,Culvert,Unknown,108847.2,0.1
3,435,-123.869753,45.735913,TideGate,UnkAnad,77617.39,0.5
