"alsea","beaver","coos","coquille","floras","lower_umpqua","middle_umpqua","necanicum","nehalem","nestucca","north_umpqua","salmon","siletz","siltcoos","siuslaw","south_umpqua","tenmile","tillamook","yaquina"
0,0.03,0.04,0.03,0.07,0.02,0.12,0.03,0.04,0.05,0.01,0.01,0,0.15,0.1,0.02,0.26,0.02,0
0.02,0.07,0.04,0,0.33,0.01,0.05,0.02,0.03,0.08,0.15,0.02,0.02,0.03,0.02,0.04,0.05,0,0.02
