"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
186948.669,186948.641,1955390308053978368,1955390175080248320
187036.446,186948.641,1957690392086618368,1955390175080248320
186948.642,186948.641,1955390181303780864,1955390175080248320
186948.781,186948.641,1955390708189123072,1955390175080248320
186948.831,186948.641,1955391060542121984,1955390175080248320
186948.943,186948.641,1955391550910209792,1955390175080248320
186948.805,186948.641,1955390947653738240,1955390175080248320
187739.258,186948.641,1961931787899883776,1955390175080248320
186948.818,186948.641,1955390995907947264,1955390175080248320
187019.524,186948.641,1956468010293505536,1955390175080248320
186950.428,186948.641,1955398456180785408,1955390175080248320
186948.655,186948.641,1955390243544355072,1955390175080248320
187170.704,186948.641,1960001266041549056,1955390175080248320
187019.687,186948.641,1956468769466554624,1955390175080248320
187019.524,186948.641,1956468008859313920,1955390175080248320
186948.832,186948.641,1955391057695886336,1955390175080248320
187019.688,186948.641,1956468772761596160,1955390175080248320
187742.838,186948.641,1967484286853962240,1955390175080248320
186948.655,186948.641,1955390229150011136,1955390175080248320
187739.14,186948.641,1961931805185496320,1955390175080248320
187019.695,186948.641,1956468920098669568,1955390175080248320
187739.244,186948.641,1961931735205168896,1955390175080248320
197386.274,186948.641,2044378423990397184,1955390175080248320
187739.384,186948.641,1961932274591262208,1955390175080248320
186948.641,186948.641,1955390177269429760,1955390175080248320
186948.803,186948.641,1955390928474864384,1955390175080248320
251588.423,186948.641,2277799122011921152,1955390175080248320
186948.818,186948.641,1955390996065505792,1955390175080248320
186948.932,186948.641,1955393374532616448,1955390175080248320
186948.846,186948.641,1955391127510731264,1955390175080248320
186948.817,186948.641,1955390980468519424,1955390175080248320
186948.643,186948.641,1955390195749489408,1955390175080248320
186949.658,186948.641,1955406968364060416,1955390175080248320
187826.711,186948.641,1964235375920844032,1955390175080248320
186950.428,186948.641,1955398455481929216,1955390175080248320
188410.494,186948.641,1975914950538649088,1955390175080248320
186948.936,186948.641,1955393263047716864,1955390175080248320
187739.096,186948.641,1961931041043236864,1955390175080248320
187036.27,186948.641,1957689589077782016,1955390175080248320
187019.539,186948.641,1956468077386228736,1955390175080248320
186948.845,186948.641,1955391105490717696,1955390175080248320
186948.642,186948.641,1955390188066383616,1955390175080248320
187036.433,186948.641,1957690355308733184,1955390175080248320
187739.081,186948.641,1961930980706611456,1955390175080248320
187019.688,186948.641,1956468765873945344,1955390175080248320
186948.67,186948.641,1955390306377365248,1955390175080248320
186948.642,186948.641,1955390187015584000,1955390175080248320
187019.525,186948.641,1956468015778304768,1955390175080248320
187744.475,186948.641,1967491871860479488,1955390175080248320
187258.35,186948.641,1962302073234155776,1955390175080248320
186948.643,186948.641,1955390183109503744,1955390175080248320
186948.923,186948.641,1955393217297465600,1955390175080248320
186948.845,186948.641,1955391104740375040,1955390175080248320
186949.106,186948.641,1955392325626215680,1955390175080248320
186948.655,186948.641,1955390229868206592,1955390175080248320
186948.668,186948.641,1955390300153832704,1955390175080248320
186948.804,186948.641,1955390934029601280,1955390175080248320
187258.349,186948.641,1962302069548404480,1955390175080248320
187739.258,186948.641,1961931787210830848,1955390175080248320
186948.642,186948.641,1955390180996167680,1955390175080248320
187036.389,186948.641,1957691870309803008,1955390175080248320
187619.938,186948.641,1969354045609460480,1955390175080248320
187036.446,186948.641,1957690392116253952,1955390175080248320
186950.442,186948.641,1955398493391644928,1955390175080248320
186948.808,186948.641,1955391004456416512,1955390175080248320
197386.113,186948.641,2044377638205873408,1955390175080248320
251588.587,186948.641,2277799969427159296,1955390175080248320
187739.104,186948.641,1961931200871281408,1955390175080248320
186948.804,186948.641,1955390932565724672,1955390175080248320
187739.083,186948.641,1961930993138918400,1955390175080248320
186948.804,186948.641,1955390934029643776,1955390175080248320
186948.655,186948.641,1955390235371570944,1955390175080248320
186948.642,186948.641,1955390181874446848,1955390175080248320
187827.021,186948.641,1964238542827752448,1955390175080248320
251810.515,186948.641,2282574041271007744,1955390175080248320
186948.641,186948.641,1955390176187069696,1955390175080248320
186948.641,186948.641,1955390175104775936,1955390175080248320
186948.805,186948.641,1955390938814215168,1955390175080248320
186948.803,186948.641,1955390927837659136,1955390175080248320
187019.696,186948.641,1956468924884422912,1955390175080248320
187019.538,186948.641,1956468069130482432,1955390175080248320
187739.364,186948.641,1961934034090362368,1955390175080248320
186948.803,186948.641,1955390926398743808,1955390175080248320
187826.724,186948.641,1964235426461128192,1955390175080248320
187170.571,186948.641,1959998902919140864,1955390175080248320
186948.656,186948.641,1955390244702541312,1955390175080248320
186948.936,186948.641,1955393262302590976,1955390175080248320
186948.78,186948.641,1955390706236137472,1955390175080248320
187739.258,186948.641,1961931794101405440,1955390175080248320
187036.434,186948.641,1957690344205570560,1955390175080248320
186948.805,186948.641,1955390947011435520,1955390175080248320
187739.082,186948.641,1961930988297008384,1955390175080248320
186948.641,186948.641,1955390182767697152,1955390175080248320
187019.538,186948.641,1956468069187048960,1955390175080248320
187019.644,186948.641,1956470298999689216,1955390175080248320
187036.399,186948.641,1957692034879159552,1955390175080248320
186949.649,186948.641,1955406991476334592,1955390175080248320
251588.704,186948.641,2277802362426637824,1955390175080248320
187739.221,186948.641,1961931512450646016,1955390175080248320
187019.538,186948.641,1956468062941930752,1955390175080248320
187740.405,186948.641,1961956163152039424,1955390175080248320
187810.141,186948.641,1963011460790448896,1955390175080248320
187019.538,186948.641,1956468062936788480,1955390175080248320
251588.45,186948.641,2277799249247718656,1955390175080248320
186948.803,186948.641,1955390928531373312,1955390175080248320
186948.804,186948.641,1955390933978185728,1955390175080248320
187739.244,186948.641,1961931733821352448,1955390175080248320
187809.966,186948.641,1963010660646556928,1955390175080248320
186948.67,186948.641,1955390320766567936,1955390175080248320
187170.733,186948.641,1959999653615149056,1955390175080248320
187019.643,186948.641,1956470292800803584,1955390175080248320
186948.958,186948.641,1955393493021150720,1955390175080248320
186948.923,186948.641,1955393209391022080,1955390175080248320
187036.447,186948.641,1957690401160916992,1955390175080248320
186948.781,186948.641,1955390713866947584,1955390175080248320
187924.686,186948.641,1981121223638250240,1955390175080248320
186949.496,186948.641,1955406215864947968,1955390175080248320
251588.424,186948.641,2277799110323181568,1955390175080248320
186948.805,186948.641,1955390938787285248,1955390175080248320
186948.943,186948.641,1955391553094251520,1955390175080248320
186948.817,186948.641,1955390979666765312,1955390175080248320
186948.804,186948.641,1955390942175409920,1955390175080248320
186948.656,186948.641,1955390252276841728,1955390175080248320
186948.818,186948.641,1955390988042821120,1955390175080248320
186948.787,186948.641,1955392583477935616,1955390175080248320
187036.434,186948.641,1957690344776580352,1955390175080248320
187170.853,186948.641,1960001954524880896,1955390175080248320
186948.817,186948.641,1955390978978192640,1955390175080248320
186948.81,186948.641,1955390950932715008,1955390175080248320
186948.817,186948.641,1955390980468519424,1955390175080248320
187620.951,186948.641,1969370820722627072,1955390175080248320
186948.655,186948.641,1955390228306243072,1955390175080248320
251588.704,186948.641,2277802355050377984,1955390175080248320
186948.813,186948.641,1955391090846541056,1955390175080248320
187170.728,186948.641,1959999768413137664,1955390175080248320
186949.615,186948.641,1955408497789694720,1955390175080248320
186948.642,186948.641,1955390188066383616,1955390175080248320
187036.277,186948.641,1957689612236047872,1955390175080248320
186948.808,186948.641,1955391004456416512,1955390175080248320
187739.244,186948.641,1961931742928194304,1955390175080248320
187739.244,186948.641,1961931733769867776,1955390175080248320
186948.655,186948.641,1955390236837462272,1955390175080248320
187019.686,186948.641,1956468760394285056,1955390175080248320
186948.943,186948.641,1955391458140515328,1955390175080248320
197386.111,186948.641,2044377642035292416,1955390175080248320
251588.587,186948.641,2277799961319159808,1955390175080248320
186948.655,186948.641,1955390229511677184,1955390175080248320
186948.964,186948.641,1955393385932221184,1955390175080248320
186948.832,186948.641,1955391065326744576,1955390175080248320
187019.524,186948.641,1956468008910738432,1955390175080248320
186948.655,186948.641,1955390229150011136,1955390175080248320
187036.272,186948.641,1957689601495516160,1955390175080248320
186948.818,186948.641,1955391002431979264,1955390175080248320
186948.845,186948.641,1955391119874739968,1955390175080248320
186948.805,186948.641,1955390932258112256,1955390175080248320
186948.943,186948.641,1955391458135374336,1955390175080248320
187739.096,186948.641,1961931049213613824,1955390175080248320
187170.678,186948.641,1960001145633076480,1955390175080248320
187036.433,186948.641,1957690347052253952,1955390175080248320
187019.7,186948.641,1956468932276860160,1955390175080248320
186951.751,186948.641,1955423593849939968,1955390175080248320
186948.804,186948.641,1955390932622277376,1955390175080248320
186948.805,186948.641,1955390947705149440,1955390175080248320
187019.525,186948.641,1956468017983006976,1955390175080248320
251588.428,186948.641,2277799119320891136,1955390175080248320
187620.096,186948.641,1969354722643360256,1955390175080248320
187619.934,186948.641,1969353971698471936,1955390175080248320
186948.669,186948.641,1955390305661786368,1955390175080248320
187740.085,186948.641,1961947738409102080,1955390175080248320
186948.649,186948.641,1955390334799953408,1955390175080248320
186948.646,186948.641,1955390258306030080,1955390175080248320
187173.185,186948.641,1960023130073651968,1955390175080248320
186950.432,186948.641,1955398516656225024,1955390175080248320
187036.433,186948.641,1957690355946217728,1955390175080248320
187019.524,186948.641,1956468008883848704,1955390175080248320
187826.711,186948.641,1964235390279352320,1955390175080248320
186950.428,186948.641,1955398441092749824,1955390175080248320
187739.11,186948.641,1961931121858059264,1955390175080248320
187036.446,186948.641,1957690392086618368,1955390175080248320
187036.297,186948.641,1957689713524139008,1955390175080248320
187036.307,186948.641,1957689881358400256,1955390175080248320
186950.441,186948.641,1955398492284820992,1955390175080248320
186948.95,186948.641,1955393334745391872,1955390175080248320
186948.67,186948.641,1955390306377365248,1955390175080248320
186948.683,186948.641,1955390360986200064,1955390175080248320
187739.095,186948.641,1961931034841712384,1955390175080248320
251588.423,186948.641,2277799108106446336,1955390175080248320
187019.644,186948.641,1956470314831816704,1955390175080248320
186948.835,186948.641,1955391128418064896,1955390175080248320
186948.923,186948.641,1955393224773928960,1955390175080248320
251676.053,186948.641,2280263646292839936,1955390175080248320
186948.817,186948.641,1955390979666769920,1955390175080248320
186948.761,186948.641,1955392463939159296,1955390175080248320
186948.812,186948.641,1955391093692776704,1955390175080248320
186948.642,186948.641,1955390191658586368,1955390175080248320
187739.081,186948.641,1961930982095487232,1955390175080248320
186948.668,186948.641,1955390301649347072,1955390175080248320
186948.888,186948.641,1955392526781496832,1955390175080248320
187019.524,186948.641,1956468008883802368,1955390175080248320
187960.998,186948.641,1966545566204447488,1955390175080248320
187107.155,186948.641,1958768041400590336,1955390175080248320
186948.774,186948.641,1955392517227086848,1955390175080248320
186948.887,186948.641,1955392525037512704,1955390175080248320
186948.805,186948.641,1955390947648597248,1955390175080248320
186948.642,186948.641,1955390187500858368,1955390175080248320
187170.557,186948.641,1959998849497359872,1955390175080248320
187635.948,186948.641,1969685265837812480,1955390175080248320
187620.774,186948.641,1969370014199636736,1955390175080248320
186948.78,186948.641,1955390706179540736,1955390175080248320
186948.655,186948.641,1955390244232881664,1955390175080248320
186948.67,186948.641,1955390312574443264,1955390175080248320
186949.114,186948.641,1955392469517874944,1955390175080248320
187019.552,186948.641,1956468141606841856,1955390175080248320
187739.167,186948.641,1961932585755022336,1955390175080248320
187964.582,186948.641,1972105752560828160,1955390175080248320
186948.642,186948.641,1955390187552270080,1955390175080248320
251588.452,186948.641,2277799269357755904,1955390175080248320
186950.113,186948.641,1955416029307682816,1955390175080248320
186948.641,186948.641,1955390176519163392,1955390175080248320
186948.643,186948.641,1955390196799758336,1955390175080248320
186948.803,186948.641,1955390926398743808,1955390175080248320
186950.113,186948.641,1955416035504798976,1955390175080248320
187810.128,186948.641,1963011424626639104,1955390175080248320
186948.845,186948.641,1955391119874735872,1955390175080248320
186948.804,186948.641,1955390942227328000,1955390175080248320
186948.685,186948.641,1955390945853955328,1955390175080248320
186948.655,186948.641,1955390227792129536,1955390175080248320
187019.643,186948.641,1956470291932322304,1955390175080248320
186948.831,186948.641,1955391051420987136,1955390175080248320
187826.796,186948.641,1964236983439141888,1955390175080248320
187107.329,186948.641,1958768840762530048,1955390175080248320
186948.803,186948.641,1955390926398743808,1955390175080248320
186948.943,186948.641,1955391466567937024,1955390175080248320
186948.845,186948.641,1955391105485576448,1955390175080248320
187019.546,186948.641,1956468221957480448,1955390175080248320
186948.774,186948.641,1955392525424313856,1955390175080248320
187036.434,186948.641,1957690344205570560,1955390175080248320
187019.525,186948.641,1956468017931582464,1955390175080248320
186948.67,186948.641,1955390306948031488,1955390175080248320
187742.968,186948.641,1967484653280186368,1955390175080248320
187036.285,186948.641,1.957689656831e+18,1955390175080248320
186948.655,186948.641,1955390230256832512,1955390175080248320
186948.643,186948.641,1955390182415743232,1955390175080248320
186948.655,186948.641,1955390227767648000,1955390175080248320
251676.298,186948.641,2280266158356379136,1955390175080248320
187170.557,186948.641,1959998849529480448,1955390175080248320
187019.524,186948.641,1956468010987366400,1955390175080248320
187740.204,186948.641,1961950023573201664,1955390175080248320
187826.724,186948.641,1964235426461128192,1955390175080248320
186966.687,186948.641,1955473643157541888,1955390175080248320
187019.687,186948.641,1956468761782148352,1955390175080248320
186948.804,186948.641,1955390935417101312,1955390175080248320
186948.695,186948.641,1955390303417144320,1955390175080248320
187739.923,186948.641,1961946992933879808,1955390175080248320
186948.804,186948.641,1955390935412402688,1955390175080248320
186948.804,186948.641,1955390931126809088,1955390175080248320
251588.507,186948.641,2277800795747237376,1955390175080248320
187739.244,186948.641,1961931735956475904,1955390175080248320
187739.095,186948.641,1961931034785079552,1955390175080248320
187020.393,186948.641,1956484126917870080,1955390175080248320
186948.803,186948.641,1955390927035905280,1955390175080248320
186948.845,186948.641,1955391111682656768,1955390175080248320
186948.817,186948.641,1955390980079873024,1955390175080248320
186948.818,186948.641,1955390988099419904,1955390175080248320
186948.762,186948.641,1955392478276914944,1955390175080248320
187019.61,186948.641,1956469620324468992,1955390175080248320
186948.805,186948.641,1955390946954883072,1955390175080248320
186948.817,186948.641,1955390979543721728,1955390175080248320
186948.76,186948.641,1955392459097986816,1955390175080248320
187924.524,186948.641,1981120465830027776,1955390175080248320
187739.244,186948.641,1961931735205122304,1955390175080248320
187019.686,186948.641,1956468760337718272,1955390175080248320
186948.922,186948.641,1955393208921361152,1955390175080248320
186948.803,186948.641,1955390927041046016,1955390175080248320
251659.328,186948.641,2278986126691678208,1955390175080248320
187107.154,186948.641,1958768041043894016,1955390175080248320
186948.804,186948.641,1955390927449012480,1955390175080248320
186948.924,186948.641,1955393213711122688,1955390175080248320
187620.104,186948.641,1969354888594600448,1955390175080248320
186948.765,186948.641,1955392469196966656,1955390175080248320
251659.306,186948.641,2278985906138087936,1955390175080248320
251588.45,186948.641,2277799255109792000,1955390175080248320
187619.933,186948.641,1969353968333824768,1955390175080248320
186948.817,186948.641,1955390979723317760,1955390175080248320
251588.669,186948.641,2277801622064286464,1955390175080248320
186949.483,186948.641,1955406170835157760,1955390175080248320
186948.804,186948.641,1955390942869120000,1955390175080248320
186949.062,186948.641,1955393740021090304,1955390175080248320
186948.95,186948.641,1955393333301333760,1955390175080248320
187019.826,186948.641,1956469385129578496,1955390175080248320
186948.76,186948.641,1955392458072177920,1955390175080248320
186948.811,186948.641,1955390959129934848,1955390175080248320
186948.761,186948.641,1955392463939159296,1955390175080248320
186948.655,186948.641,1955390228281761792,1955390175080248320
187620.096,186948.641,1969354722070509056,1955390175080248320
187107.182,186948.641,1958768166914237696,1955390175080248320
186948.655,186948.641,1955390228404809728,1955390175080248320
187019.7,186948.641,1956468815114255616,1955390175080248320
187107.153,186948.641,1958768036943684608,1955390175080248320
187019.538,186948.641,1956468063303658240,1955390175080248320
197386.112,186948.641,2044377648969394176,1955390175080248320
186948.817,186948.641,1955390979723317760,1955390175080248320
186948.78,186948.641,1955390706236093440,1955390175080248320
187258.351,186948.641,1962302096737070848,1955390175080248320
187107.167,186948.641,1958768089630445312,1955390175080248320
187739.258,186948.641,1961931787899879680,1955390175080248320
186948.805,186948.641,1955390938762803968,1955390175080248320
251588.599,186948.641,2277799994399188992,1955390175080248320
186948.924,186948.641,1955393220699677696,1955390175080248320
186948.804,186948.641,1955390931156431360,1955390175080248320
187794.954,186948.641,1973003102974273792,1955390175080248320
187739.244,186948.641,1961931733764719872,1955390175080248320
186948.856,186948.641,1955391049200779264,1955390175080248320
186949.234,186948.641,1955394749251800320,1955390175080248320
186948.817,186948.641,1955390978977473792,1955390175080248320
186948.646,186948.641,1955390256867114496,1955390175080248320
186949.645,186948.641,1955406915167515648,1955390175080248320
186948.682,186948.641,1955390353534947840,1955390175080248320
186948.646,186948.641,1955390267910616064,1955390175080248320
187036.284,186948.641,1957689641001471232,1955390175080248320
187020.556,186948.641,1956484885342939392,1955390175080248320
186948.818,186948.641,1955390995494839296,1955390175080248320
186948.805,186948.641,1955390938762803968,1955390175080248320
187707.725,186948.641,1971663373514240000,1955390175080248320
186948.655,186948.641,1955390235341948160,1955390175080248320
186948.641,186948.641,1955390176187069696,1955390175080248320
187019.53,186948.641,1956468092102939392,1955390175080248320
187038.057,186948.641,1957697857953652480,1955390175080248320
251588.422,186948.641,2277799106124805888,1955390175080248320
186948.76,186948.641,1955392466040271104,1955390175080248320
186948.937,186948.641,1955393262659069696,1955390175080248320
186948.769,186948.641,1955392624316045568,1955390175080248320
187019.538,186948.641,1956468069187048960,1955390175080248320
186948.642,186948.641,1955390179894487552,1955390175080248320
187020.365,186948.641,1956484001114077184,1955390175080248320
187036.446,186948.641,1957690393526134528,1955390175080248320
186948.803,186948.641,1955390928480008192,1955390175080248320
186948.805,186948.641,1955390932233630720,1955390175080248320
186948.831,186948.641,1955391060485570048,1955390175080248320
187740.099,186948.641,1961947791160696320,1955390175080248320
187019.688,186948.641,1956468774195741440,1955390175080248320
187241.454,186948.641,1961077959898519552,1955390175080248320
186948.727,186948.641,1955391786139394048,1955390175080248320
186950.041,186948.641,1955395514942073088,1955390175080248320
186948.805,186948.641,1955390938762803968,1955390175080248320
187170.558,186948.641,1959998872322180096,1955390175080248320
186948.831,186948.641,1955391067248296448,1955390175080248320
186948.804,186948.641,1.955390931845e+18,1955390175080248320
186948.817,186948.641,1955390981110821632,1955390175080248320
186948.646,186948.641,1955390256867114496,1955390175080248320
187036.432,186948.641,1957690339422616064,1955390175080248320
186948.642,186948.641,1955390180583060480,1955390175080248320
187924.695,186948.641,1981121383346640640,1955390175080248320
186948.668,186948.641,1955390302316084736,1955390175080248320
187019.608,186948.641,1956469607905731072,1955390175080248320
186948.649,186948.641,1955390334799909376,1955390175080248320
186948.781,186948.641,1955390713810394368,1955390175080248320
187170.677,186948.641,1960001140842197248,1955390175080248320
251588.599,186948.641,2277799994340370432,1955390175080248320
186948.726,186948.641,1955391782456455680,1955390175080248320
186949.952,186948.641,1955415289023670272,1955390175080248320
186948.803,186948.641,1955390926347376128,1955390175080248320
186948.655,186948.641,1955390236837415936,1955390175080248320
186957.056,186948.641,1955550095943955712,1955390175080248320
186948.818,186948.641,1955391002488531712,1955390175080248320
186948.808,186948.641,1955391004788510208,1955390175080248320
186948.643,186948.641,1955390189505298944,1955390175080248320
186949.964,186948.641,1955415329927835136,1955390175080248320
186948.655,186948.641,1955390228817916928,1955390175080248320
186948.656,186948.641,1955390251226572800,1955390175080248320
186948.818,186948.641,1955390982212549376,1955390175080248320
187739.244,186948.641,1961931733764766208,1955390175080248320
187019.538,186948.641,1956468062661174528,1955390175080248320
186948.67,186948.641,1955390314089252096,1955390175080248320
186949.107,186948.641,1955392308216279552,1955390175080248320
187619.934,186948.641,1969353976048538880,1955390175080248320
186948.655,186948.641,1955390236805344768,1955390175080248320
187019.645,186948.641,1956470311984584704,1955390175080248320
186948.809,186948.641,1955391009573128704,1955390175080248320
186948.817,186948.641,1955390980085014272,1955390175080248320
186948.932,186948.641,1955393372732079104,1955390175080248320
187019.525,186948.641,1956468011400565760,1955390175080248320
187241.455,186948.641,1961077968286782208,1955390175080248320
187036.434,186948.641,1957690344956227840,1955390175080248320
187107.317,186948.641,1958768794433136128,1955390175080248320
187036.573,186948.641,1957690980726364672,1955390175080248320
186948.818,186948.641,1955391002432026112,1955390175080248320
187170.572,186948.641,1959998910564097024,1955390175080248320
186948.923,186948.641,1955393213582933504,1955390175080248320
187739.096,186948.641,1961931056831028736,1955390175080248320
187036.27,186948.641,1957689595267902976,1955390175080248320
186948.663,186948.641,1955390395118164992,1955390175080248320
186948.932,186948.641,1955393372788631552,1955390175080248320
186948.804,186948.641,1955390942170264832,1955390175080248320
186948.78,186948.641,1955390706897735936,1955390175080248320
186948.641,186948.641,1955390182711101440,1955390175080248320
186948.805,186948.641,1955390938814215168,1955390175080248320
187019.701,186948.641,1956468815532598016,1955390175080248320
187739.244,186948.641,1961931741406647808,1955390175080248320
187809.979,186948.641,1963010708154108672,1955390175080248320
186948.831,186948.641,1955391052854715392,1955390175080248320
186948.808,186948.641,1955391003344453376,1955390175080248320
198003.316,186948.641,2262650243353867264,1955390175080248320
186948.641,186948.641,1955390175650960640,1955390175080248320
186948.922,186948.641,1955393208284199168,1955390175080248320
186948.805,186948.641,1955390938762803968,1955390175080248320
186948.663,186948.641,1955390395118164992,1955390175080248320
186949.646,186948.641,1955406926884133376,1955390175080248320
186948.655,186948.641,1955390228404809728,1955390175080248320
186948.645,186948.641,1955390252139049984,1955390175080248320
186948.803,186948.641,1955390927786247680,1955390175080248320
186948.804,186948.641,1955390927449012480,1955390175080248320
186948.641,186948.641,1955390175779103232,1955390175080248320
186948.801,186948.641,1955392634726492160,1955390175080248320
251588.599,186948.641,2277799994345717504,1955390175080248320
187036.41,186948.641,1957690119118762496,1955390175080248320
187826.711,186948.641,1964235375174251264,1955390175080248320
186948.922,186948.641,1955393208257269248,1955390175080248320
187809.966,186948.641,1963010660979152384,1955390175080248320
186948.805,186948.641,1955390932238771968,1955390175080248320
187036.27,186948.641,1957689589072638208,1955390175080248320
187739.252,186948.641,1961931893649418240,1955390175080248320
186948.803,186948.641,1955390928474820352,1955390175080248320
186948.813,186948.641,1955391090903046912,1955390175080248320
186948.839,186948.641,1955391211192042240,1955390175080248320
187036.434,186948.641,1957690344899641600,1955390175080248320
186949.106,186948.641,1955392312400427520,1955390175080248320
186948.805,186948.641,1955390933264580096,1955390175080248320
187826.725,186948.641,1964235435547986432,1955390175080248320
187635.798,186948.641,1969684565550355456,1955390175080248320
187739.165,186948.641,1961932580945231360,1955390175080248320
186950.428,186948.641,1955398441786464768,1955390175080248320
186948.642,186948.641,1955390192071697920,1955390175080248320
187826.752,186948.641,1964235552994805760,1955390175080248320
186948.804,186948.641,1955390931183361536,1955390175080248320
251590.21,186948.641,2277808293744264704,1955390175080248320
187038.084,186948.641,1957697983094279936,1955390175080248320
186949.644,186948.641,1955406914468614912,1955390175080248320
187036.552,186948.641,1957692632327523328,1955390175080248320
186948.804,186948.641,1955390929850935296,1955390175080248320
186951.349,186948.641,1955420593085908224,1955390175080248320
186948.817,186948.641,1955390978997532416,1955390175080248320
186948.845,186948.641,1955391105485576960,1955390175080248320
187739.082,186948.641,1961930988291859968,1955390175080248320
187019.807,186948.641,1956471047631164672,1955390175080248320
187036.446,186948.641,1957690393582724864,1955390175080248320
187019.524,186948.641,1956468008910738432,1955390175080248320
186948.642,186948.641,1955390181997541120,1955390175080248320
187170.72,186948.641,1959999609995478016,1955390175080248320
186948.818,186948.641,1955391002431979264,1955390175080248320
186950.438,186948.641,1955398605265210112,1955390175080248320
187036.389,186948.641,1957691870361245440,1955390175080248320
187036.278,186948.641,1957689747419392000,1955390175080248320
187258.305,186948.641,1962303601047750144,1955390175080248320
187036.433,186948.641,1957690347108840192,1955390175080248320
187739.244,186948.641,1961931733769149952,1955390175080248320
187036.749,186948.641,1957691784486072832,1955390175080248320
186948.804,186948.641,1955390942199887360,1955390175080248320
186948.646,186948.641,1955390267915710976,1955390175080248320
186950.429,186948.641,1955398445156657664,1955390175080248320
186948.804,186948.641,1955390936518781952,1955390175080248320
187036.442,186948.641,1957690503997012992,1955390175080248320
186948.649,186948.641,1955390335574658048,1955390175080248320
186948.655,186948.641,1955390243544308736,1955390175080248320
186948.642,186948.641,1955390179894487552,1955390175080248320
187740.085,186948.641,1961947738409102080,1955390175080248320
186948.804,186948.641,1.955390931132e+18,1955390175080248320
187036.518,186948.641,1957691943511028736,1955390175080248320
187019.833,186948.641,1956471175593046272,1955390175080248320
187739.245,186948.641,1961931749609146624,1955390175080248320
197386.125,186948.641,2044377686399932160,1955390175080248320
186949.483,186948.641,1955406168045462016,1955390175080248320
186948.943,186948.641,1955391458548435968,1955390175080248320
187739.258,186948.641,1961931786516110336,1955390175080248320
186948.65,186948.641,1955390342435904000,1955390175080248320
187019.709,186948.641,1956468972742013952,1955390175080248320
186948.805,186948.641,1955390947705149440,1955390175080248320
187739.244,186948.641,1961931735900354816,1955390175080248320
186948.927,186948.641,1955393285286506496,1955390175080248320
186948.774,186948.641,1955392511040286976,1955390175080248320
186948.804,186948.641,1955390931131949824,1955390175080248320
187620.097,186948.641,1969354733087892224,1955390175080248320
186948.831,186948.641,1955391052859856640,1955390175080248320
186948.641,186948.641,1955390176576157952,1955390175080248320
186948.669,186948.641,1955390316680806400,1955390175080248320
187739.923,186948.641,1961946992939027968,1955390175080248320
186948.655,186948.641,1955390228404809728,1955390175080248320
186948.804,186948.641,1955390933973044736,1955390175080248320
186948.76,186948.641,1955392458974939136,1955390175080248320
186950.127,186948.641,1955416081198758400,1955390175080248320
186948.641,186948.641,1955390184206568960,1955390175080248320
187739.253,186948.641,1961931894762460672,1955390175080248320
186948.817,186948.641,1955390979671906560,1955390175080248320
186948.805,186948.641,1.955390940201e+18,1955390175080248320
